,
0,119,0,0,0,0,0
1,0,112,0,0,0,0
2,0,0,113,0,0,0
3,0,0,0,115,0,0
4,0,0,0,0,107,0
5,0,0,0,0,0,100
,
0,119,0,0,0,0,0
1,1,110,1,0,0,0
2,3,16,93,0,0,1
3,1,0,0,114,0,0
4,0,0,0,1,106,0
5,0,0,0,0,2,98
,
0,119,0,0,0,0,0
1,2,109,0,1,0,0
2,2,0,111,0,0,0
3,3,0,0,112,0,0
4,0,0,0,1,101,5
5,0,0,0,0,4,96
,
0,116,0,0,3,0,0
1,1,111,0,0,0,0
2,0,0,112,0,1,0
3,1,1,0,113,0,0
4,0,0,0,0,106,1
5,0,0,0,0,4,96
,
0,117,0,2,0,0,0
1,1,88,23,0,0,0
2,0,0,112,0,0,1
3,0,0,0,115,0,0
4,0,0,0,1,104,2
5,0,0,0,0,3,97
,
0,119,0,0,0,0,0
1,11,54,31,16,0,0
2,3,0,109,1,0,0
3,4,0,0,110,1,0
4,0,1,0,2,100,4
5,0,0,1,0,4,95
