,Epoch,train_loss,acc
0,0,0.20295593280752655,98.69849
1,1,0.029923985609457304,92.407814
2,2,0.0012745834865199868,99.24078
3,3,0.0003303217908978695,100.0
4,4,0.0008953336041486182,100.0
5,5,0.007558369208709337,97.505424
6,6,0.0005956210670774453,100.0
7,7,9.363412345919642e-05,100.0
8,8,4.413645592649118e-05,100.0
9,9,4.1987597626302886e-05,100.0
10,10,3.394955024305091e-05,100.0
11,11,3.586235266084259e-05,100.0
12,12,2.2522963774918026e-05,100.0
13,13,3.6775517486375975e-05,100.0
14,14,1.4812280795695187e-05,100.0
15,15,2.4340995537386334e-05,100.0
16,16,1.052828505976322e-05,100.0
17,17,2.265997301265088e-05,100.0
18,18,8.055243029048142e-06,100.0
